,Location,Year,Population
528,WI,1999,5332666.0
529,WI,2000,5373999.0
530,WI,2001,5406835.0
531,WI,2002,5445162.0
532,WI,2004,5514026.0
533,WI,2003,5479203.0
534,WI,2005,5546166.0
535,WI,2006,5577655.0
536,WI,2008,5640996.0
537,WI,2007,5610775.0
538,WI,2009,5669264.0
539,WY,2009,559851.0
540,WY,2007,534876.0
541,WY,2008,546043.0
542,WY,2006,522667.0
543,WY,2005,514157.0
544,WY,2003,503453.0
545,WY,2004,509106.0
546,WY,2002,500017.0
547,WY,2001,494657.0
548,WY,2000,494300.0
549,WY,1999,491780.0
