Year,Location,Population,Total Suicides (18 to 24),Total Suicides (25 to 34),Total Suicides (35 to 44),Total Suicides (45 to 54),Total Suicides (55+),Suicides per 100k (18 to 24),Suicides per 100k (25 to 34),Suicides per 100k (35 to 44),Suicides per 100k (45 to 54),Suicides per 100k (55+)
2009,TN,6306019.0,96.0,133.0,167.0,263.0,288.0,1.5223550706079383,2.1090960874047475,2.6482635082450594,4.170618578852998,4.567065211823815
2009,TX,24801761.0,345.0,453.0,505.0,738.0,768.0,1.3910302578917682,1.8264832081883215,2.0361457398125884,2.9755951603597826,3.0965543132199365
2009,UT,2723421.0,55.0,109.0,91.0,113.0,81.0,2.0195188331146743,4.0023191419909,3.3413857056988254,4.149193238944695,2.9742004633143386
2009,VT,624817.0,,11.0,15.0,,42.0,,1.7605154789322313,2.400702925816679,,6.721968192286702
2009,VA,7925937.0,84.0,130.0,203.0,253.0,293.0,1.0598116033473393,1.6401846242280251,2.56121137475607,3.1920516148437716,3.6967238069139334
2009,WA,6667426.0,100.0,137.0,151.0,225.0,308.0,1.4998291694575987,2.0547659621569103,2.264742045880974,3.374615631279597,4.619473841929405
2009,WV,1847775.0,25.0,49.0,39.0,54.0,86.0,1.3529785823490414,2.6518380214041213,2.1106465884645047,2.9224337378739293,4.654246323280702
2009,WI,5669264.0,76.0,95.0,142.0,196.0,215.0,1.3405620200435189,1.6757025250543984,2.5047343006076273,3.457238893796444,3.7923793988073227
2009,WY,559851.0,15.0,19.0,24.0,24.0,29.0,2.6792843095752263,3.3937601254619536,4.286854895320362,4.286854895320362,5.17994966517877
2010,AL,4785437.0,63.0,114.0,117.0,168.0,217.0,1.316494188514027,2.3822275792158583,2.4449177786689074,3.510651169370739,4.534591093770538
2010,AK,713910.0,39.0,29.0,19.0,42.0,35.0,5.46287347144598,4.062136683895729,2.6613998963454777,5.883094507711056,4.90257875642588
2010,AZ,6407172.0,119.0,166.0,156.0,281.0,371.0,1.8572936702807417,2.5908466324924633,2.4347715341495437,4.385710263436037,5.7903861485223125
2010,AR,2921964.0,48.0,71.0,96.0,103.0,129.0,1.6427307112613299,2.4298725104073835,3.2854614225226597,3.525026317914937,4.4148387865148235
2010,CA,37319502.0,376.0,485.0,604.0,,,1.0075161238753936,1.299588617232888,1.6184567521828133,,
2010,CO,5047349.0,99.0,133.0,150.0,248.0,235.0,1.9614256909914491,2.6350466353723507,2.9718571075628017,4.913470417837165,4.655909468515056
2010,CT,3579114.0,36.0,48.0,64.0,93.0,112.0,1.0058355224225886,1.3411140298967845,1.7881520398623794,2.59840843292502,3.129266069759164
2010,DE,899593.0,12.0,,20.0,,28.0,1.3339365690929121,,2.2232276151548533,,3.1125186612167948
2010,FL,18845537.0,190.0,314.0,428.0,,,1.0081962641871125,1.6661769839723855,2.271094742484653,,
